Every_ISSN,-,,Title,Type,Issn,Column1
,,,Public Services Quarterly,journal,"15229114, 15228959","2002-2003, 2006-2020"
,,,IC Revista Cientifica de Informacion y Comunicacion,journal,"21731071, 16962508",2016-2018
,,,Knygotyra,journal,"23450053, 02042061",2018-2020
,,,Vjesnik Bibliotekara Hrvatske,journal,"05071925, 13346938",2009-2019
,,,Masaryk University Journal of Law and Technology,journal,"18025951, 18025943",2013-2020
,,,International Journal of Information Science and Management,journal,"20088310, 20088302",2008-2019
,,,"International Journal of Metadata, Semantics and Ontologies",journal,"1744263X, 17442621","2006-2014, 2020"
,,,Pakistan Journal of Information Management and Libraries,journal,24097462,2014-2019
,,,"2016 18th International Middle-East Power Systems Conference, MEPCON 2016 - Proceedings",conference and proceedings,-,2016
,,,LREC 2018 - 11th International Conference on Language Resources and Evaluation,conference and proceedings,-,2019
,,,Investigacion Bibliotecologica,journal,0187358X,2008-2020
,,,Libres,journal,10586768,1996-2020
,,,Behavioral and Social Sciences Librarian,journal,"01639269, 15444546","1979-2002, 2004-2017, 2019-2020"
,,,Archives and Manuscripts,journal,"01576895, 21646058",2013-2020
,,,Revista Cubana de Informacion en Ciencias de la Salud,journal,23072113,2013-2020
,,,"Synthesis Lectures on Information Concepts, Retrieval, and Services",book series,"1947945X, 19479468",2018-2020
,,,Terminology,journal,"15699994, 09299971","1994-1998, 2000-2020"
,,,Journal of Archival Organization,journal,"15332748, 15332756","2002, 2004-2014, 2016-2020"
,,,Lecture Notes in Control and Information Sciences,book series,1708643,"1982-1985, 1990-1991, 1993, 1996, 2005-2020"
,,,Art Documentation,journal,"21619417, 07307187",2015-2020
,,,Journal of Library Metadata,journal,"19375034, 19386389",2008-2020
,,,African Journal of Library Archives and Information Science,journal,7954778,"2008-2012, 2014-2017, 2019"
,,,Bilgi Dunyasi,journal,13023217,2013-2019
,,,Music Reference Services Quarterly,journal,10588167,"1992-1998, 2001-2002, 2004, 2006-2020"
,,,Transinformacao,journal,1033786,2010-2020
,,,International Journal of Public Administration in the Digital Age,journal,"23344539, 23344520",2019
,,,Journal of the Canadian Health Libraries Association,journal,17086892,2018-2020
,,,Perspectivas em Ciencia da Informacao,journal,"19815344, 14139936",2008-2020
,,,Advances in Classification Research Online,conference and proceedings,23249773,"2006, 2007, 2008, 2009, 2011, 2013, 2014, 2015, 2018"
,,,American Archivist,journal,3609081,1938-2019
,,,Cataloging and Classification Quarterly,journal,"01639374, 0898008X",1981-2020
,,,Canadian Journal of Information and Library Science,journal,1195096X,1993-2019
,,,Journal of Information Technology Teaching Cases,journal,20438869,2014-2020
,,,Development and Learning in Organizations,journal,14777282,2003-2020
,,,Scire,journal,11353716,2011-2020
,,,Technical Services Quarterly,journal,7317131,1984-2020
,,,Ibersid,journal,"2174081X, 18880967",2012-2019
,,,"Proceedings - 2018 4th International Conference on Information Retrieval and Knowledge Management: Diving into Data Sciences, CAMP 2018",conference and proceedings,-,2018
,,,Journal of Information and Organizational Sciences,journal,"18463312, 18469418",2006-2020
,,,"IEEE 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services, ETTLIS 2018",conference and proceedings,-,2018
,,,"Informacion, Cultura y Sociedad",journal,"15148327, 18511740",2012-2020
,,,"Proceedings of 2016 International Symposium on Information Theory and Its Applications, ISITA 2016",conference and proceedings,-,2016
,,,Bibliothecae.it,journal,"22807934, 22839364",2018-2019
,,,"Journal of Interlibrary Loan, Document Delivery and Electronic Reserve",journal,"1072303X, 15403572","1994, 1996-1997, 2000, 2002-2003, 2005-2019"
,,,Information Design Journal,journal,1425471,"1979-1984, 1986-1987, 1989-1991, 1993-1996, 1998, 2000-2011, 2013-2014, 2016-2019"
,,,GL-Conference Series: Conference Proceedings,conference and proceedings,13862316,"2007, 2020"
,,,Zeitschrift fur Bibliothekswesen und Bibliographie,journal,"18642950, 00442380","1969, 1988-2019"
,,,Biblios,journal,15624730,2013-2019
,,,BiD,journal,15755886,2012-2019
,,,Computers in Libraries,trade journal,10417915,"1996-2010, 2012, 2014-2019"
,,,International Conference Series on Grey Literature,conference and proceedings,13862316,2018
,,,Wacana,journal,"14112272, 24076899",2015-2020
,,,"2018 International Conference on Advanced Computer Science and Information Systems, ICACSIS 2018",conference and proceedings,-,2019
,,,"2019 5th International Conference on Web Research, ICWR 2019",conference and proceedings,-,2019
,,,Ciencia da Informacao,journal,1001965,"2006-2013, 2015-2019"
,,,Archivaria,journal,3186954,"1980, 1989-1990, 1996-2020"
,,,Revista Interamericana de Bibliotecologia,journal,"25389866, 01200976",2000-2019
,,,Comma,journal,"20493355, 16801865",2020
,,,Intelligent Systems Reference Library,book series,"18684394, 18684408",2009-2021
